Post time,Reach,Likes and reactions,Comments,Shares,NiceName,Image,URL,ig ID
2021-01-30T10:08:05,2637,152,2,20,"Jupiter, Moons, and Geometry",jupiters-moons.png,https://www.instagram.com/reel/COibPRuHA7Z/,COibPRuHA7Z
2021-03-11T07:17:22,5602,240,2,85,Xrays in the Night Sky,x-ray-night-sky.png,https://www.instagram.com/reel/CMSH10PHoWA/,CMSH10PHoWA
2021-03-16T10:08:07,7002,257,2,107,Hubble Deep Field,hubble-deep-field.png,https://www.instagram.com/reel/CMfMf9Jng7X/,CMfMf9Jng7X
2021-03-18T10:46:40,5321,206,2,38,What's an Equinox?,whats-an-equinox.png,https://www.instagram.com/reel/CMkaetfnsks/,CMkaetfnsks
2021-03-24T05:04:52,6814,192,0,11,Ancient Oceans on Mars,oceans-on-mars.png,https://www.instagram.com/reel/CMzQI_xH_v0/,CMzQI_xH_v0
2021-03-29T05:54:21,7045,263,2,92,Ride along with a Photon,ride-along-with-a-photon.png,https://www.instagram.com/reel/CNANzVmHp3k/,CNANzVmHp3k
2021-04-02T05:49:03,7025,190,10,16,The Three Body Problem,three-body-gravity.png,https://www.instagram.com/reel/CNKgWtanUlj/,CNKgWtanUlj
2021-04-08T05:55:27,13925,395,4,80,Inner Planets Mandala,inner-planets-mandala.png,https://www.instagram.com/reel/CNZ92fzHvEr/,CNZ92fzHvEr
2021-04-22T05:20:34,8476,272,3,110,Earth Day 2021,earth-day-2021.png,https://www.instagram.com/reel/CN986gXnHED/,CN986gXnHED
2021-04-24T13:25:55,6255,150,0,8,AG Carinae,ag-carinae.png,https://www.instagram.com/reel/COD9fH1HHTk/,COD9fH1HHTk
2021-04-26T09:51:00,7899,180,3,50,ISS - 24 hours of orbits,iss-24-hours-orbits.png,https://www.instagram.com/reel/COIutPjnzja/,COIutPjnzja
2021-05-04T07:27:24,7678,172,0,14,Saturn's Moon - Mimas,mimas-saturn.png,https://www.instagram.com/reel/COdFDTgHuyh/,COdFDTgHuyh
2021-05-06T09:17:37,8207,238,0,26,Jupiters Moons,jupiters-moons.png,https://www.instagram.com/reel/COibPRuHA7Z/,COibPRuHA7Z
2021-05-12T09:11:02,146323,3829,23,720,Voyager 1 and 2 - Trajectories,both-voyagers-trajectory.png,https://www.instagram.com/reel/COx3PxanO4X/,COx3PxanO4X
